Course	Name	Attributes	Prerequisites
BMED 1000	Introduction to Biomedical Engineering		
BMED 1300	Problems in Biomedical Engineering I		BMED 1000
BMED 1750	Introduction to Bioengineering		
BMED 1801	Special Topics		
BMED 1802	Special Topics		
BMED 1803	Special Topics		
BMED 1804	Special Topics		
BMED 1805	Special Topics		
BMED 1811	Special Topics		
BMED 1812	Special Topics		
BMED 1813	Special Topics		
BMED 1814	Special Topics		
BMED 1815	Special Topics		
BMED 2210	Conservation Principles in Biomedical Engineering	Tech Elect CS,Engr,&Sciences	BMED 1300,CHEM 1211,CHEM 1310,|,&,PHYS 2211,&
BMED 2300	Problems in Biomedical Engineering II	Tech Elect CS,Engr,&Sciences	BMED 1300
BMED 2400	Introduction to Bioengineering Statistics		MATH 1501,CS 1371,&
BMED 2698	Undergraduate Research Assistantship		
BMED 2699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
BMED 2801	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 2802	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 2803	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 2804	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 2805	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 2811	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 2812	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 2813	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 2814	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 2815	Special Topics	Tech Elect CS,Engr,&Sciences	
BMED 3100	Systems Physiology		CHEM 1315,CHEM 2311,|
BMED 3110	Quantitative Engineering Physiology Laboratory I		BMED 3100,BMED 3400,&,BMED 2400,CEE 3770,|,ISYE 3770,MATH 3770,|,|,&
BMED 3300	Biotransport	Tech Elect CS,Engr,&Sciences	BMED 2210,MATH 2403,&
BMED 3400	Introduction to Biomechanics	Tech Elect CS,Engr,&Sciences	MATH 2403,MATH 2413,|,COE 2001,&
BMED 3500	Biomedical Sensors and Instrumentation	Tech Elect CS,Engr,&Sciences	BMED 2300,ECE 2025,&,ECE 3741,&,CEE 3770,ISYE 3770,|,MATH 3770,BMED 2400,|,|,&
BMED 3510	Biomedical Systems and Modeling		PHYS 2212,MATH 2403,&,BMED 3100,&
BMED 3600	Physiology of Cellular and Molecular Systems		BMED 3100
BMED 3610	Quantitative Engineering Physiology Laboratory II		BMED 2300,BMED 3300,&,BMED 3110,&,BMED 3600,&
BMED 4400	Neuroengineering Fundamentals	Tech Elect CS,Engr,&Sciences	BIOL 4752,BMED 4752,|,BMED 3110,&
BMED 4477	Biological Networks and Genomics	Tech Elect CS,Engr,&Sciences	ECE 2025,BMED 3600,&,CEE 3770,ISYE 3770,|,MATH 3770,BMED 2400,|,|,&
BMED 4500	Cell and Tissue Engineering Laboratory	Tech Elect CS,Engr,&Sciences	BMED 3610
BMED 4600	Senior Design Project I	Tech Elect CS,Engr,&Sciences	BMED 3610,BMED 2300,&
BMED 4601	Senior Design Project II	Tech Elect CS,Engr,&Sciences	BMED 4600
BMED 4602	Capstone Design		BMED 2300,BMED 3610,&
BMED 4603	Advanced Design		BMED 4602
BMED 4698	Undergraduate Research Assistantship		
BMED 4699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
BMED 4740	Biologically Inspired Design		BIOL 1520,BIOL 3600,|,BMED 3100,BMED 4751,|,|,PHYS 2211,|
BMED 4750	Diagnostic Imaging Physics	Tech Elect CS,Engr,&Sciences	BMED 3110
BMED 4751	Introduction to Biomaterials	Tech Elect CS,Engr,&Sciences	MSE 2001
BMED 4752	Introductory Neuroscience	Tech Elect CS,Engr,&Sciences	BMED 3600,BIOL 3340,|
