Course	Name	Attributes	Prerequisites
CHBE 1750	Introduction to Bioengineering		
CHBE 2100	Chemical Process Principles	Tech Elect CS,Engr,&Sciences	CHEM 1310,CHEM 1211,|,MATH 1502,MATH 15X2,MATH 1522,&,|,&
CHBE 2110	Chemical Engineering Thermodynamics I	Tech Elect CS,Engr,&Sciences	CHBE 2100,BIOL 1510,&
CHBE 2120	Numerical Methods in Chemical Engineering	Tech Elect CS,Engr,&Sciences	CHBE 2100,CS 1371,&
CHBE 2130	Chemical Engineering Thermodynamics I		CHBE 2100,BIOL 1510,&
CHBE 2698	Undergraduate Research Assistantship		
CHBE 2699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
CHBE 2801	Special Topics		
CHBE 2803	Special Topics		
CHBE 3110	Chemical Engineering Thermodynamics II	Tech Elect CS,Engr,&Sciences	CHBE 2110,CHBE 2120,&,MATH 2401,MATH 24X1,|,&,MATH 2403,MATH 24X3,|,&
CHBE 3130	Chemical Engineering Thermodynamics II		CHBE 2120,CHBE 2130,CHBE 2110,|,&,MATH 2401,MATH 24X1,|,&,MATH 2403,MATH 24X3,|,&
CHBE 3200	Transport Process I	Tech Elect CS,Engr,&Sciences	CHBE 2110,CHBE 2130,|,CHBE 2120,&,MATH 2401,MATH 24X1,|,&,MATH 2403,MATH 24X3,|,&,PHYS 2211,&
CHBE 3210	Transport Processes II	Tech Elect CS,Engr,&Sciences	CHBE 3110,CHBE 3130,|,CHBE 3200,&
CHBE 3225	Separations Processes	Tech Elect CS,Engr,&Sciences	CHBE 3200,CHBE 3210,&,CHBE 3110,CHBE 3130,|,&
CHBE 3600	Engineering Ethics and Leadership	Tech Elect CS,Engr,&Sciences	
CHBE 4020	Chemical Engineering in Nanoscale Systems		
CHBE 4200	Transport Phenomena/Unit Operations Laboratory	Tech Elect CS,Engr,&Sciences	CHBE 3210,CHBE 3225,&,CHBE 4300,&
CHBE 4210	Transport Phenomena / Bioprocess Unit Operations	Tech Elect CS,Engr,&Sciences	CHBE 3210,CHBE 3225,&,CHBE 4300,&
CHBE 4300	Kinetics and Reactor Design	Tech Elect CS,Engr,&Sciences	CHBE 3200,CHBE 3210,&,CHBE 3110,CHBE 3130,|,&
