Course	Name	Attributes	Prerequisites
CHEM 1310	General Chemistry		
CHEM 1315	Survey of Organic Chemistry		CHEM 1211,CHEM 1310,|
CHEM 2211	Introduction to Quantitative Analysis		CHEM 1312,CHEM 1212,|
CHEM 2311	Organic Chemistry I	Tech Elect CS,Engr,&Sciences	CHEM 1311,CHEM 1212,|
CHEM 2312	Organic Chemistry II	Tech Elect CS,Engr,&Sciences	CHEM 2311
CHEM 2313	Organic and Bioorganic Chemistry	Tech Elect CS,Engr,&Sciences	CHEM 2311
CHEM 2380	Synthesis Laboratory I	Tech Elect CS,Engr,&Sciences	CHEM 1212,CHEM 1312,|,CHEM 1313,CHEM 2211,|,|,CHEM 2311,&,CHEM 2312,&
CHEM 2694	Intern Assistantship (Undergraduate Internship for Pay)		
CHEM 2695	Undergraduate Internship (Undergraduate Internship for Academic Credit)		
CHEM 2698	Undergraduate Research Assistantship		
CHEM 2699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
CHEM 2801	Special Topics	Tech Elect CS,Engr,&Sciences	
CHEM 2802	Special Topics	Tech Elect CS,Engr,&Sciences	CHEM 1311
CHEM 2803	Special Topics	Tech Elect CS,Engr,&Sciences	CHEM 1311
CHEM 2901	Special Problems in Chemistry	Tech Elect CS,Engr,&Sciences	CHEM 1311
CHEM 2902	Special Problems in Chemistry	Tech Elect CS,Engr,&Sciences	CHEM 1311
CHEM 2903	Special Problems in Chemistry	Tech Elect CS,Engr,&Sciences	CHEM 1311
CHEM 3111	Inorganic Chemistry	Tech Elect CS,Engr,&Sciences	CHEM 2312,CHEM 1212,&
CHEM 3211	Analytical Chemistry	Tech Elect CS,Engr,&Sciences	CHEM 2380,CHEM 2211,&,PHYS 2212,&
CHEM 3281	Instrumental Analysis for Engineers	Tech Elect CS,Engr,&Sciences	PHYS 2212,CHEM 1315,CHEM 2311,|,&
CHEM 3371	Organic Chemistry Laboratory	Tech Elect CS,Engr,&Sciences	CHEM 2380
CHEM 3380	Synthesis Laboratory II	Tech Elect CS,Engr,&Sciences	CHEM 2380,CHEM 3111,&
CHEM 3411	Physical Chemistry I	Tech Elect CS,Engr,&Sciences	CHEM 1311,CHEM 1212,|
CHEM 3412	Physical Chemistry II	Tech Elect CS,Engr,&Sciences	CHEM 1311,CHEM 1212,|,PHYS 2212,&
CHEM 3481	Physical Chemistry Laboratory I	Tech Elect CS,Engr,&Sciences	CHEM 2380,CHEM 3411,&,CHEM 3412,&
CHEM 3482	Physical Chemistry Laboratory II	Tech Elect CS,Engr,&Sciences	CHEM 3481
CHEM 3511	Survey of Biochemistry	Tech Elect CS,Engr,&Sciences	CHEM 1315,CHEM 2312,|
CHEM 3700	The Science of Alternative Energy		CHEM 1310,CHEM 1211,CHEM 1212,&,|,PHYS 2211,&,PHYS 2212,&
CHEM 4311	Advanced Organic Chemistry	Tech Elect CS,Engr,&Sciences	CHEM 2312
CHEM 4341	Applied Spectroscopy	Tech Elect CS,Engr,&Sciences	CHEM 2312
CHEM 4401	Molecular Spectroscopy	Tech Elect CS,Engr,&Sciences	CHEM 3412
CHEM 4452	Chemistry of the Solid State	Tech Elect CS,Engr,&Sciences	CHEM 3111,CHEM 3412,&
CHEM 4511	Biochemistry I	Tech Elect CS,Engr,&Sciences	CHEM 2312
CHEM 4512	Biochemistry II	Tech Elect CS,Engr,&Sciences	CHEM 4511
CHEM 4521	Biophysical Chemistry	Tech Elect CS,Engr,&Sciences	CHEM 3411,CHEM 4511,&
CHEM 4581	Biochemistry Laboratory I	Tech Elect CS,Engr,&Sciences	CHEM 4511,CHEM 3371,CHEM 3380,|,&
CHEM 4582	Biochemistry Laboratory II	Tech Elect CS,Engr,&Sciences	CHEM 4512,CHEM 4581,&
CHEM 4601	Chemistry Seminar	Tech Elect CS,Engr,&Sciences	CHEM 4512
CHEM 4684	Advanced Chemistry Lab		CHEM 3211,CHEM 3380,&,CHEM 3481,&
CHEM 4694	Intern Assistantship (Undergraduate Internship for Pay)		
CHEM 4695	Undergraduate Internship (Undergraduate Internship for Academic Credit)		
CHEM 4698	Undergraduate Research Assistantship		
CHEM 4699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
CHEM 4740	Atmospheric Chemistry	Tech Elect CS,Engr,&Sciences	CHEM 1310,CHEM 1212,|,PHYS 2211,&,MATH 2401,&,EAS 3603,CHEM 3411,|,&
CHEM 4760	Biocatalysis and Metabolic Engineering	Tech Elect CS,Engr,&Sciences	CHEM 3511,CHEM 4511,|,CHEM 3411,CHEM 4300,|,&
CHEM 4765	Drug Design, Development, and Delivery	Tech Elect CS,Engr,&Sciences	CHEM 3511,CHEM 4511,|
