Course	Name	Attributes	Prerequisites
CS 1050	Understanding and Constructing Proofs		
CS 1100	Freshman Leap Seminar		
CS 1171	Introductory Computing in MATLAB		CS 1301,CS 15XX,|,CS 13X1,CS 1315,|,|
CS 1301	Introduction to Computing		
CS 1315	Introduction to Media Computation		
CS 1316	Representing Structure and Behavior		CS 1301,CS 1315,|,CS 1371,|
CS 1331	Introduction to Object Oriented Programming		CS 1301,CS 1315,|,CS 1321,CS 1371,|,|
CS 1332	Data Structures and Algorithms for Applications		CS 1322,CS 1331,|
CS 1371	Computing for Engineers		
CS 1372	Structured Program Design for Engineers		CS 1171,CS 1371,|,CS 1301,|
CS 1801	Special Topics		
CS 1802	Special Topics		
CS 1803	Special Topics		
CS 1804	Special Topics		
CS 1805	Special Topics		
CS 2050	Introduction to Discrete Mathematics for Computer Science		
CS 2051	Honors - Induction to Discrete Mathematics for Computer Science		
CS 2110	Computer Organization and Programming	Tech Elect CS,Engr,&Sciences	CS 1331
CS 2200	Computer Systems and Networks	Tech Elect CS,Engr,&Sciences	CS 2110
CS 2261	Media Device Architectures	Tech Elect CS,Engr,&Sciences	CS 1331
CS 2316	Data Manipulation for Science and Industry		CS 1371,CS 1301,|,CS 1315,|
CS 2335	Software Practicum	Tech Elect CS,Engr,&Sciences	CS 1332
CS 2340	Objects and Design	Tech Elect CS,Engr,&Sciences	CS 1331,CS 1372,|,CS 1316,|
CS 2600	Knowledge Representation and Processing	Tech Elect CS,Engr,&Sciences	CS 1301,CS 1315,|,CS 1371,|
CS 2698	Undergraduate Research Assistantship		
CS 2699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
CS 2801	Special Topics	Tech Elect CS,Engr,&Sciences	
CS 2802	Special Topics	Tech Elect CS,Engr,&Sciences	
CS 2803	Special Topics	Tech Elect CS,Engr,&Sciences	
CS 2804	Special Topics	Tech Elect CS,Engr,&Sciences	
CS 2805	Special Topics	Tech Elect CS,Engr,&Sciences	
CS 3101	Computer Science Ventures		CS 1301,CS 1315,|,CS 1371,|
CS 3210	Design of Operating Systems	Computer Systems (CS),Tech Elect CS,Engr,&Sciences	CS 2200
CS 3220	Computer Structures: Hardware/Software Codesign of a Processor	Computer Systems (CS),Tech Elect CS,Engr,&Sciences	CS 2200
CS 3240	Languages and Computation	Tech Elect CS,Engr,&Sciences	CS 2340
CS 3251	Computer Networking I	Networking & Telecom (CS),Tech Elect CS,Engr,&Sciences	CS 2200
CS 3300	Introduction to Software Engineering	Software Engineering (CS),Tech Elect CS,Engr,&Sciences	CS 2340
CS 3451	Computer Graphics	Graphics & Visualization (CS),Tech Elect CS,Engr,&Sciences	MATH 2605,MATH 2401,|,MATH 2411,MATH 24X1,|,|,CS 2110,CS 2261,|,&,CS 1332,&,CS 2340,&
CS 3510	Design and Analysis of Algorithms	Tech Elect CS,Engr,&Sciences	CS 2050,CS 2051,|,CS 1332,MATH 3012,|,&
CS 3511	Design and Analysis of Algorithms, Honors		CS 2050,CS 2051,|,CS 1332,MATH 3012,|,&
CS 3600	Introduction to Artificial Intelligence	Intelligent Systems (CS),Tech Elect CS,Engr,&Sciences	CS 1332
CS 3630	Introduction to Perception and Robotics	Tech Elect CS,Engr,&Sciences	CS 1332
CS 3651	Prototyping Intelligence Appliances		ECE 2031
CS 3743	Analysis of Emerging Technologies		
