Course	Name	Attributes	Prerequisites
ECE 1750	Introduction to Bioengineering		
ECE 1801	Special Topics		
ECE 1802	Special Topics		
ECE 1803	Special Topics		
ECE 1804	Special Topics		
ECE 1805	Special Topics		
ECE 1811	Special Topics		
ECE 1812	Special Topics		
ECE 1813	Special Topics		
ECE 1814	Special Topics		
ECE 1815	Special Topics		
ECE 1881	Special Topics		
ECE 1882	Special Topics		
ECE 1883	Special Topics		
ECE 1884	Special Topics		
ECE 1891	Special Topics		
ECE 1892	Special Topics		
ECE 1893	Special Topics		
ECE 1894	Special Topics		
ECE 1900	Special Problems		
ECE 1901	Special Problems		
ECE 1902	Special Problems		
ECE 1903	Special Problems		
ECE 2001	ECE Seminar	Tech Elect CS,Engr,&Sciences	
ECE 2002	ECE Seminar	Tech Elect CS,Engr,&Sciences	
ECE 2003	ECE Seminar	Tech Elect CS,Engr,&Sciences	
ECE 2020	Digital System Design		CS 1371,CS 1171,|,CS 1301,|
ECE 2025	Introduction to Signal Processing	Tech Elect CS,Engr,&Sciences	MATH 1502,MATH 15X2,MATH 1522,&,|,MATH 1512,|,CS 1371,CS 1171,|,&
ECE 2026	Introduction to Signal Processing		MATH 1502,MATH 15X2,MATH 1522,&,|,MATH 1512,|,CS 1371,CS 1171,|,CS 1372,ECE 2035,|,|,ECE 2036,|,&
ECE 2030	Introduction to Computer Engineering	Tech Elect CS,Engr,&Sciences	CS 1371,CS 1171,|
ECE 2031	Digital Design Laboratory	Tech Elect CS,Engr,&Sciences	ECE 2020,ECE 2030,|,ECE 2035,ECE 2036,|,CS 1372,|,&
ECE 2035	Programming for Hardware/Software Systems		ECE 2020,ECE 2030,|
ECE 2036	Engineering Software Design		ECE 2020,ECE 2030,|,ECE 2026,ECE 2025,|,&
ECE 2040	Circuit Analysis	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|,MATH 24X3,MATH 2413,|,MATH 2403,|,&
ECE 2698	Undergraduate Research Assistantship		
ECE 2699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
ECE 2801	Special Topics	Tech Elect CS,Engr,&Sciences	
