Course	Name	Attributes	Prerequisites
LMC 2100	Introduction to Science, Technology and Culture		
LMC 2200	Introduction to Gender Studies		
LMC 2300	Introduction to Biomedicine and Culture		
LMC 2400	Introduction to Media Studies		
LMC 2500	Introduction to Film		
LMC 2600	Introduction to Performance Studies		
LMC 2661	Theatre Production I		
LMC 2662	Theatre Production II		
LMC 2698	Research Assistantship		
LMC 2699	Undergraduate Research		
LMC 2700	Introduction to Computational Media		
LMC 2720	Principles of Visual Design		
LMC 2730	Constructing the Moving Image		
LMC 2800	Introduction to Literature, Media, and Communication		
LMC 2813	Special Topics in STAC		
LMC 2823	Special Topics in Literature and Culture		
LMC 2850	Seminar in Literature, Media, and Communication		
LMC 3102	Science, Technology, and the Classical Tradition		
LMC 3104	The Age of Scientific Discovery		
LMC 3106	The Age of Scientific Revolution		
LMC 3108	Science, Technology, and Enlightenment		
LMC 3110	Science, Technology, and Romanticism		
LMC 3112	Evolution and the Industrial Age		
LMC 3114	Science, Technology, and Modernism		
LMC 3116	Science, Technology, and Postmodernism		
LMC 3118	Science, Technology, and the American Empire		
LMC 3202	Studies in Fiction		
LMC 3204	Poetry and Poetics		
LMC 3206	Communication and Culture		
LMC 3208	African American Literature and Culture		
LMC 3210	Ethnicity in American Culture		
LMC 3212	Women, Literature, and Culture		
LMC 3214	Science Fiction		
LMC 3216	Theatre I: Classic and Medieval		
LMC 3218	Theatre II: Renaissance and Restoration		
LMC 3219	Literature and Medicine		
LMC 3220	Theatre III: Modern and Contemporary		
LMC 3222	Regionalism-American Literature		
LMC 3225	Gender Studies in the Disciplines		
LMC 3226	Major Authors		
LMC 3228	Shakespeare		
LMC 3234	Creative Writing		
LMC 3252	Studies in Film and Television		
LMC 3254	Film History		
LMC 3256	Major Filmmakers		
LMC 3257	Global Cinema		
LMC 3258	Documentary Film		
LMC 3259	Experimental Film		
LMC 3262	Performance Studies		
LMC 3302	Science, Technology, and Ideology		
LMC 3304	Science, Technology, and Gender		
LMC 3306	Science, Technology, and Race		
LMC 3308	Environmentalism and Ecocriticism		
LMC 3310	The Rhetoric of Scientific Inquiry		
LMC 3314	Technologies of Representation		
LMC 3316	Science, Technology, and Postcolonialism		
LMC 3318	Biomedicine and Culture		
LMC 3352	Film and/as Technology		
LMC 3362	Science, Technology and Performance		
LMC 3402	Graphic and Visual Design		
LMC 3403	Technical Communication, Theory and Practice		
LMC 3406	Video Production		
LMC 3408	The Rhetoric of Technical Narratives		
LMC 3410	The Rhetoric of Nonlinear Documents		
LMC 3412	Communicating Science and Technology to the Public		
LMC 3414	Intellectual Property: Policy and Law		
LMC 3502	Ancient and Medieval Literature and Culture		
LMC 3504	Renaissance Literature and Culture		
LMC 3506	Enlightenment and Culture		
LMC 3508	Formations of American Culture		
LMC 3510	Rearticulations of American Culture		
LMC 3512	British and Continental Romanticism		
LMC 3514	Victorian Literature and Culture		
LMC 3516	Literary and Cultural Modernism		
LMC 3518	Literary and Cultural Postmodernism		
LMC 3661	Theatre Production III: Management		
LMC 3662	Theatre Production IV: Acting		
LMC 3705	Principles of Information Design		
LMC 3710	Principles of Interaction Design		
LMC 3823	Special Topics in Literature and Culture		
LMC 3833	Special Topics in STAC		
LMC 3843	Special Topics in Communication		
LMC 3853	Special Topics in Film		
LMC 3863	Special Topics in Performance		
LMC 4100	Seminar in Science, Technology, and Culture		
LMC 4102	Senior Thesis		
LMC 4200	Seminar in Literary and Cultural Theory		
LMC 4204	Poetry and Poetics II		
LMC 4300	Seminar in Biomedicine and Culture		
LMC 4400	Seminar in Media Studies		
LMC 4406	Contemporary Issues in Professional Communication		
LMC 4500	Seminar in Film Studies		
LMC 4600	Seminar in Performance Studies		
LMC 4602	Performance Practicum		
LMC 4698	Research Assistantship		
LMC 4699	Undergraduate Research		
LMC 4701	Undergraduate Research Proposal Writing		
LMC 4702	Undergraduate Research Thesis Writing		
LMC 4720	Interactive Narrative		
LMC 4725	Games Design as a Cultural Practice		
LMC 4730	Experimental Digital Art		
LMC 4731	Game AI		
LMC 4811	Special Topics		
LMC 4812	Special Topics		
LMC 4813	Special Topics		
LMC 4814	Special Topics		
LMC 4815	Special Topics		
LMC 4904	Internship		
