Course	Name	Attributes	Prerequisites
MATH 1111	Precalculus for Mathematics without Trigonometry		
MATH 1113	Precalculus		
MATH 1501	Calculus I		MATH 1113
MATH 1502	Calculus II		MATH 1501,MATH 1511,|,MATH 15X1,|
MATH 1503	Calculus I for the Life Sciences		MATH 1113
MATH 1504	Calculus I for the Life Sciences		MATH 1503,MATH 1501,|,MATH 1511,MATH 15X1,|,|
MATH 1511	Honors Calculus I		MATH 1501
MATH 1512	Honors Calculus II		MATH 1501,MATH 1511,|
MATH 1522	Linear Algebra for Calculus		MATH 15X2
MATH 1601	Introduction to Higher Mathematics		MATH 1501,MATH 1511,|,MATH 15X1,|
MATH 1711	Finite Mathematics		MATH 1113
MATH 1712	Survey of Calculus		MATH 1113
MATH 1803	Special Topics		
MATH 2401	Calculus III	Tech Elect CS,Engr,&Sciences	MATH 1502,MATH 1512,|,MATH 15X2,MATH 1522,&,|
MATH 2403	Differential Equations	Tech Elect CS,Engr,&Sciences	MATH 1502,MATH 1512,|,MATH 15X2,MATH 1522,&,|
MATH 2406	Abstract Vector Spaces	Tech Elect CS,Engr,&Sciences	MATH 1502,MATH 1512,|,MATH 15X2,MATH 1522,&,|
MATH 2411	Honors Calculus III	Tech Elect CS,Engr,&Sciences	MATH 1502,MATH 1512,|
MATH 2413	Honors Differential Equations	Tech Elect CS,Engr,&Sciences	MATH 2401,MATH 2411,|,MATH 2605,|
MATH 2602	Linear and Discrete Mathematics	Tech Elect CS,Engr,&Sciences	MATH 2401,MATH 2411,|,MATH 24X1,MATH 2605,|,|
MATH 2605	Calculus III for Computer Science	Tech Elect CS,Engr,&Sciences	MATH 1502,MATH 1512,|,MATH 15X2,MATH 1522,&,|
MATH 2698	Undergraduate Research Assistantship		
MATH 2699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
MATH 2801	Special Topics	Tech Elect CS,Engr,&Sciences	
MATH 2802	Special Topics	Tech Elect CS,Engr,&Sciences	
MATH 2803	Special Topics	Tech Elect CS,Engr,&Sciences	
MATH 2804	Special Topics	Tech Elect CS,Engr,&Sciences	
MATH 2805	Special Topics	Tech Elect CS,Engr,&Sciences	
MATH 3012	Applied Combinatorics	Tech Elect CS,Engr,&Sciences	MATH 1502,MATH 1512,|,MATH 15X2,MATH 1522,&,|
MATH 3022	Honors Applied Combinatorics	Tech Elect CS,Engr,&Sciences	MATH 1502,MATH 1512,|,MATH 15X2,MATH 1522,&,|
