Course	Name	Attributes	Prerequisites
MGT 2106	Legal, Social, Ethical Aspects of Business		
MGT 2200	Management Applications of Information Technology		
MGT 2250	Management Statistics		MATH 1712,MATH 17X2,|,MATH 1501,MATH 15X1,|,|
MGT 2251	Introduction to Management Science		MGT 2250
MGT 2598	Management Internship		
MGT 2599	Internship and Independent Study		
MGT 2698	Undergraduate Research Assistantship		
MGT 2699	Undergraduate Research		
MGT 2910	Special Problems		
MGT 2911	Special Problems		
MGT 2912	Special Problems		
MGT 3000	Financial and Managerial Accounting		
MGT 3062	Financial Management		ACCT 2101
MGT 3075	Security Valuation		MGT 3062,MGT 3078,|
MGT 3076	Investments		MGT 3062
MGT 3078	Finance and Investments		
MGT 3079	Management of Financial Institutions		MGT 3062,MGT 3078,|
MGT 3082	Fundamentals of Real Estate Development		
MGT 3084	Derivative Securities		MGT 3062,MGT 3078,|
MGT 3101	Organizational Behavior		
MGT 3102	Managing Human Resources within a Regulatory Environment		
MGT 3103	Leadership in a Changing Environment		MGT 3101,MGT 3102,|,MGT 3150,|
MGT 3150	Principles of Management		
MGT 3300	Marketing Management I		
MGT 3310	Marketing Research: Qualitative Aspects		MGT 3300
MGT 3325	Product Planning		MGT 2250,MGT 3300,&
MGT 3501	Operations Management		MGT 2251
MGT 3510	Management of Technology		MGT 3501
MGT 3599	Career Development Workshop		
MGT 3605	Principles of Commerical Law		MGT 2106
MGT 3606	International Business Law	Global Perspectives	
MGT 3607	Business Ethics		MGT 2106
MGT 3608	Technology Law and Ethics	Ethics Requirement	MGT 2106
MGT 3609	Legal Aspects of Real Estate		
MGT 3660	International Business	Global Economics (IP),Global Perspectives	
MGT 3661	Advanced Concepts in International Business		MGT 3660
MGT 3662	Management in the Healthcare Sector		
MGT 3663	Technology Strategy		ECON 2106
MGT 3743	Analysis of Emerging Technologies		
MGT 3744	Managing Product, Service & Technology Development		
MGT 4010	Business Taxation		MGT 3000
MGT 4015	Advanced Managerial Accounting		MGT 3000
MGT 4026	Financial Reporting and Analysis I		MGT 3000
MGT 4027	Financial Reporting and Analysis II		MGT 3000,MGT 4026,&
MGT 4028	Financial Analysis and Reporting of Technology Firms		MGT 3000
MGT 4030	International Accounting		MGT 3000
MGT 4041	Auditing and Financial Control Systems		MGT 3000
MGT 4043	Advanced Financial Reporting		MGT 4026
MGT 4045	Seminar in Advanced Accounting		MGT 3000
MGT 4047	Ethics & Accounting	Ethics Requirement	ACCT 2101,ACCT 2102,&
MGT 4051	Decision Support and Expert Systems		MGT 2200
MGT 4052	Systems Analysis and Design		MGT 2200
MGT 4053	Business Data Communications		MGT 2200
MGT 4055	International Issues in Information Technology Management		MGT 2200
MGT 4056	Electronic Commerce		
MGT 4057	Business Process Analysis and Design		MGT 2200
MGT 4058	Database Management Systems		MGT 2200
MGT 4066	Corporate Restructuring		MGT 3062,MGT 3078,|
MGT 4067	Financial Markets: Trading and Structure		MGT 3076
MGT 4068	Fixed Income		MGT 3062,MGT 3078,|
MGT 4070	International Finance		MGT 3062,MGT 3078,|
MGT 4071	Multinational Financial Management		MGT 3062,MGT 3078,|
MGT 4072	Entrepreneurial Finance		MGT 3062,MGT 3078,|
MGT 4102	Management Consulting		MGT 3150,MGT 3101,|
MGT 4106	Teams in Organizations		MGT 3150,MGT 3101,|
MGT 4116	The Role of Gender, Race and Ethnicity in Organizational Behavior		
MGT 4190	Strategic Quality Management and Competitiveness		MGT 3150
MGT 4191	The Entrepreneurship Forum		
MGT 4192	Impact Speaker Series Forum		
MGT 4193	Servant Leadership, Values & Systems		
MGT 4194	Social Enterprise and Entrepreneurship		
MGT 4195	Strategic Management		MGT 3062,MGT 3300,&,MGT 3501,&,MGT 3101,MGT 3150,|,&
MGT 4303	Personal Selling and Sales Management		MGT 3300
MGT 4304	Strategic Brand Management		MGT 3300
MGT 4305	Business-to-Business Marketing		MGT 3300
MGT 4307	Strategic Marketing		MGT 3300
MGT 4308	Advertising & Promotion: Integrated Marketing Communications		MGT 3300
MGT 4309	Services Marketing		MGT 3300
MGT 4311	Digital Marketing		MGT 3300
MGT 4331	Consumer Behavior		MGT 3300
MGT 4332	Database and CRM Strategy		MGT 3300
MGT 4335	International Marketing	INTA-Int'l Political Economy	MGT 3300
MGT 4352	Operations Resource Planning and Execution		MGT 3501
MGT 4353	Operations Strategy		MGT 3501
MGT 4360	Global Operations and Supply Chain Management		MGT 3501
MGT 4365	Quality Control and Improvement		MGT 3501
MGT 4366	Service Operations Management		MGT 3501
MGT 4401	Supply Chain Modeling		MGT 3501
MGT 4598	Management Internship		
MGT 4599	Internship and Independent Study		
MGT 4610	Law, Management, and Economics		
MGT 4611	Integrative Management Analysis		
MGT 4661	Database Management		MGT 2200
MGT 4670	Entrepreneurship		ACCT 2101,MGT 3300,&
MGT 4698	Undergraduate Research Assistantship		
MGT 4699	Undergraduate Research		
MGT 4741	Integrative Management Development-Project Preparation		
MGT 4742	Integrated Technology and Management Capstone Project		
MGT 4803	Special Topics in Industrial Management		
MGT 4811	Special Topics in Management		
MGT 4812	Special Topics in Management		
MGT 4813	Special Topics in Management		
MGT 4814	Special Topics in Management		
MGT 4815	Special Topics in Management		
MGT 4823	Special Topics		
MGT 4910	Special Problems		
MGT 4911	Special Problems		
MGT 4912	Special Problems		
MGT 6000	Financial and Managerial Accounting I		
MGT 6010	Individual Taxation: Analysis and Planning		MGT 6000
MGT 6015	Managerial Accounting II		MGT 6000
MGT 6020	Financial Reporting and Analysis I		MGT 6000
MGT 6022	Financial Reporting and Analysis II		MGT 6000
MGT 6028	Financial Analysis and Reporting of Technology Firms		MGT 6000
MGT 6030	International Accounting		MGT 6000
MGT 6042	Auditing and Financial Control Systems		MGT 6000
MGT 6043	Advanced Financial Reporting		MGT 4026,MGT 6020,|
MGT 6045	Seminar in Advanced Accounting Topics		MGT 6000
MGT 6047	Ethics and Accounting		MGT 6000
MGT 6051	Database Development and Applications		MGT 6050
MGT 6053	Business Data Communications		MGT 6050
MGT 6056	Electronic Commerce-Conducting Business on the Internet		MGT 6050
MGT 6057	Business Process Analysis and Design		
MGT 6058	Information Technology Practicum		MGT 6123
MGT 6059	Emerging Technologies		MGT 6123
MGT 6060	Financial Management		MGT 6000
MGT 6066	Mergers and Acquisitions		MGT 6060
MGT 6067	Financial Aspects of Commercial Real Estate		MGT 6060
