Course	Name	Attributes	Prerequisites
PHYS 1000	Physics Orientation		
PHYS 2001	Physics of Space and Time	Tech Elect CS,Engr,&Sciences	PHYS 2211
PHYS 2021	The Solar System	Tech Elect CS,Engr,&Sciences	
PHYS 2022	Stars, Galaxies, and the Universe	Tech Elect CS,Engr,&Sciences	
PHYS 2030	Physics Of Music	Tech Elect CS,Engr,&Sciences	
PHYS 2211	Introductory Physics I	Tech Elect CS,Engr,&Sciences	MATH 1501,MATH 1511,|
PHYS 2212	Introductory Physics II	Tech Elect CS,Engr,&Sciences	PHYS 2211,PHYS 2231,|
PHYS 2213	Introduction to Modern Physics	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|
PHYS 2231	Honors Physics I	Tech Elect CS,Engr,&Sciences	MATH 1502,MATH 1512,|
PHYS 2232	Honors Physics II	Tech Elect CS,Engr,&Sciences	PHYS 2211,PHYS 2231,|
PHYS 2698	Undergraduate Research Assistantship		
PHYS 2699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
PHYS 2750	Physics of the Weather	Tech Elect CS,Engr,&Sciences	
PHYS 2801	Special Topics	Tech Elect CS,Engr,&Sciences	
PHYS 2802	Special Topics	Tech Elect CS,Engr,&Sciences	
PHYS 2803	Special Topics	Tech Elect CS,Engr,&Sciences	
PHYS 2804	Special Topics	Tech Elect CS,Engr,&Sciences	
PHYS 2814	Special Topics		
PHYS 2900	Special Problems	Tech Elect CS,Engr,&Sciences	
PHYS 2901	Special Problems	Tech Elect CS,Engr,&Sciences	
PHYS 2902	Special Problems	Tech Elect CS,Engr,&Sciences	
PHYS 3021	Nuclear Astrophysics and Stellar Evolution	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|
PHYS 3043	Principles of Quantum Mechanics	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|
PHYS 3122	Electrostatics and Magnetostatics	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|,MATH 2403,MATH 2413,|,MATH 24X3,|,&
PHYS 3123	Electrodynamics	Tech Elect CS,Engr,&Sciences	PHYS 3122
PHYS 3141	Thermodynamics	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|,MATH 2403,MATH 2413,|,MATH 24X3,|,&
PHYS 3143	Quantum Mechanics I	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|,MATH 2403,MATH 2413,|,&
PHYS 3151	Mathematical Physics	Tech Elect CS,Engr,&Sciences	MATH 2403,MATH 2413,|,MATH 24X3,|,PHYS 2212,PHYS 2232,|,&
PHYS 3201	Classical Mechanics I	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|,MATH 2403,MATH 2413,|,&
PHYS 3202	Classical Mechanics II	Tech Elect CS,Engr,&Sciences	PHYS 3201
PHYS 3211	Electronics I	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|
PHYS 3223	Geometrical Optics and Lens Design	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|
PHYS 3224	Geometrical Optics Laboratory	Tech Elect CS,Engr,&Sciences	PHYS 3223
PHYS 3225	Modern Optics	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|
PHYS 3226	Modern Optics Laboratory	Tech Elect CS,Engr,&Sciences	PHYS 3225
PHYS 3232	Optics I	Tech Elect CS,Engr,&Sciences	PHYS 2212
PHYS 3265	Introduction to Acoustics	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|
PHYS 3266	Computational Physics	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|
PHYS 3801	Special Topics	Tech Elect CS,Engr,&Sciences	
PHYS 3802	Special Topics	Tech Elect CS,Engr,&Sciences	
