Course	Name	Attributes	Prerequisites
AE 1350	Introduction to Aerospace Engineering		
AE 1355	Aerospace Systems Design Competition I		
AE 1750	Introduction to Bioengineering		
AE 1770	Introduction to Engineering Graphics and Visualization		MATH 1501,MATH 15X1,|,MATH 1511,|
AE 2020	Low-Speed Aerodynamics	Tech Elect CS,Engr,&Sciences	MATH 2401,MATH 2411,|,MATH 24X1,|,AE 1350,&,PHYS 2211,PHYS 2231,|,&
AE 2120	Introduction to Mechanics	Tech Elect CS,Engr,&Sciences	MATH 2401,MATH 2411,|,MATH 24X1,|,PHYS 2211,&
AE 2220	Dynamics	Tech Elect CS,Engr,&Sciences	COE 2001,MATH 2403,MATH 2413,|,MATH 24X3,|,&
AE 2355	Aerospace Systems Design Competition II	Tech Elect CS,Engr,&Sciences	
AE 2698	Undergraduate Research Assistantship		
AE 2699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
AE 2801	Special Topics	Tech Elect CS,Engr,&Sciences	
AE 2802	Special Topics	Tech Elect CS,Engr,&Sciences	
AE 2803	Special Topics	Tech Elect CS,Engr,&Sciences	
AE 2901	Special Problems	Tech Elect CS,Engr,&Sciences	
AE 2902	Special Problems	Tech Elect CS,Engr,&Sciences	
AE 2903	Special Problems	Tech Elect CS,Engr,&Sciences	
AE 3021	High-Speed Aerodynamics	Tech Elect CS,Engr,&Sciences	AE 2020,AE 3450,&
AE 3051	Experimental Fluid Dynamics	Tech Elect CS,Engr,&Sciences	AE 2020,AE 3450,&
AE 3090	Numerical Methods for Aerospace Engineering		CS 1371,MATH 2403,&,AE 2020,&
AE 3120	Introduction to Structural Analysis	Tech Elect CS,Engr,&Sciences	AE 2120,MATH 2403,MATH 2413,|,MATH 24X3,|,&
AE 3125	Aerospace Structural Analysis	Tech Elect CS,Engr,&Sciences	COE 3001
AE 3145	Structures Laboratory	Tech Elect CS,Engr,&Sciences	COE 3001
AE 3310	Introduction to Aerospace Vehicle Performance	Tech Elect CS,Engr,&Sciences	AE 2020,MATH 2403,MATH 2413,|,MATH 24X3,|,&
AE 3355	Aerospace Systems Design Competition III	Tech Elect CS,Engr,&Sciences	
AE 3450	Thermodynamics and Compressible Flow	Tech Elect CS,Engr,&Sciences	PHYS 2212,PHYS 2232,|,MATH 2401,MATH 2411,|,MATH 24X1,|,&
AE 3515	System Dynamics and Control	Tech Elect CS,Engr,&Sciences	AE 2220,MATH 2403,MATH 2413,|,MATH 24X3,|,&
AE 3521	Aircraft and Spacecraft Flight Dynamics	Tech Elect CS,Engr,&Sciences	AE 2020,AE 3515,&
AE 3801	Special Topics	Tech Elect CS,Engr,&Sciences	
AE 3802	Special Topics	Tech Elect CS,Engr,&Sciences	
AE 3803	Special Topics	Tech Elect CS,Engr,&Sciences	
AE 3901	Special Problems	Tech Elect CS,Engr,&Sciences	
AE 3902	Special Problems	Tech Elect CS,Engr,&Sciences	
AE 3903	Special Problems	Tech Elect CS,Engr,&Sciences	
AE 4040	Computational Fluid Dynamics	Tech Elect CS,Engr,&Sciences	AE 3021
AE 4051	Flow Diagnostics	Tech Elect CS,Engr,&Sciences	AE 3051
AE 4060	Aeroacoustics	Tech Elect CS,Engr,&Sciences	AE 3450,AE 3515,&
AE 4070	Introduction to Propeller and Rotor Theory	Tech Elect CS,Engr,&Sciences	AE 3021
AE 4080	Aerothermodynamics	Tech Elect CS,Engr,&Sciences	AE 3021
AE 4120	Introduction to Aerospace Engineering Composite Structures	Tech Elect CS,Engr,&Sciences	COE 2001
AE 4131	Introduction to Finite Element Methods	Tech Elect CS,Engr,&Sciences	AE 3125
AE 4170	Structural Integrity and Durability	Tech Elect CS,Engr,&Sciences	COE 3001
AE 4220	Structural Dynamics and Aeroelasticity	Tech Elect CS,Engr,&Sciences	AE 3125,AE 3515,&
AE 4310	Space Flight Mechanics	Tech Elect CS,Engr,&Sciences	AE 2220
AE 4350	Aerospace Engineering Design Project I	Tech Elect CS,Engr,&Sciences	AE 3021,AE 3310,&,AE 3521,&,AE 4451,&
AE 4351	Aerospace Engineering Design Project II	Tech Elect CS,Engr,&Sciences	AE 4350,AE 3021,&,AE 3521,&,AE 4451,&
AE 4355	Aerospace Systems Design Competition IV	Tech Elect CS,Engr,&Sciences	
AE 4356	Space Systems Design Project I	Tech Elect CS,Engr,&Sciences	AE 3310,AE 4310,&,AE 4451,&
AE 4357	Space Systems Design Project II	Tech Elect CS,Engr,&Sciences	AE 4356,AE 4310,&,AE 4451,&
AE 4358	Rotorcraft Design I	Tech Elect CS,Engr,&Sciences	AE 3310,CS 1371,&,CEE 1770,ME 1770,|,AE 1770,|,&,AE 3125,&,AE 3521,&,MSE 2001,&
AE 4359	Rotorcraft Design II	Tech Elect CS,Engr,&Sciences	AE 3125,AE 3521,&,AE 4358,&,MSE 2001,&
AE 4370	Life Cycle Cost Analysis		
AE 4375	Fundamentals of Computer-Aided Engineering and Design	Tech Elect CS,Engr,&Sciences	CS 1321,MATH 2403,MATH 2413,|,MATH 24X3,|,&
AE 4451	Jet and Rocket Propulsion	Tech Elect CS,Engr,&Sciences	AE 3450
AE 4461	Introduction to Combustion	Tech Elect CS,Engr,&Sciences	AE 3450
AE 4521	Vehicle Guidance and Simulation	Tech Elect CS,Engr,&Sciences	AE 3521
AE 4525	Control System Design Laboratory	Tech Elect CS,Engr,&Sciences	AE 3521
AE 4580	Introduction to Avionics Integration	Tech Elect CS,Engr,&Sciences	AE 3521,ECE 3710,&
AE 4698	Undergraduate Research Assistantship		
AE 4699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
