Course	Name	Attributes	Prerequisites
ME 1750	Introduction to Bioengineering		
ME 1770	Introduction to Engineering Graphics and Visualization		
ME 2016	Computer Applications	Tech Elect CS,Engr,&Sciences	CS 1321,MATH 1502,MATH 1512,|,&,MATH 15X2,MATH 1522,&,|
ME 2110	Creative Decisions and Design	Tech Elect CS,Engr,&Sciences	AE 1770,CEE 1770,|,ME 1770,|,ME 2016,&,AE 2120,ME 2211,|,&
ME 2202	Dynamics of Rigid Bodies	Tech Elect CS,Engr,&Sciences	ME 2016,ME 2211,&
ME 2698	Undergraduate Research Assistantship		
ME 2699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
ME 2803	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 3015	System Dynamics and Control	Tech Elect CS,Engr,&Sciences	MATH 2403,MATH 24X3,|,MATH 2413,|,ME 2202,&,ECE 3741,&
ME 3017	System Dynamics		CS 1371,MATH 2403,&,ME 2202,&,ECE 3710,&
ME 3057	Experimental Methodology and Technical Writing	Tech Elect CS,Engr,&Sciences	ME 3340,COE 3001,&,ME 3015,&,ME 3345,&,MATH 3770,ISYE 3770,|,CEE 3770,|,&
ME 3141	Cutting-Edge Eng Seminar		
ME 3180	Machine Design	Tech Elect CS,Engr,&Sciences	AE 1770,CEE 1770,|,ME 1770,|,ME 3201,&
ME 3210	Design, Materials, and Manufacture		ME 2110,MSE 2001,&
ME 3322	Thermodynamics	Tech Elect CS,Engr,&Sciences	PHYS 2211,MATH 2403,MATH 24X3,|,MATH 2602,MATH 2413,|,|,&,ME 2016,&
ME 3340	Fluid Mechanics	Tech Elect CS,Engr,&Sciences	ME 2202,ME 3322,&,MATH 2401,&,MATH 2403,&
ME 3345	Conduction and Radiation Heat Transfer	Tech Elect CS,Engr,&Sciences	MATH 2403,MATH 24X3,|,ME 3340,&
ME 3700	Introduction to Energy Systems Engineering		CHEM 1310,CHEM 1211,CHEM 1212,&,|,PHYS 2211,&,PHYS 2212,&
ME 3720	Introduction to Fluid and Thermal Engineering	Tech Elect CS,Engr,&Sciences	CHEM 1310,PHYS 2211,&,MATH 2403,MATH 24X3,|,MATH 2413,|,&
ME 3743	Analysis of Emerging Technologies		
ME 3744	Managing Product, Service & Technology Development		
ME 4011	Internal Combustion Engines	Tech Elect CS,Engr,&Sciences	ME 3322
ME 4012	Modeling and Control of Motion Systems	Tech Elect CS,Engr,&Sciences	ME 3015
ME 4041	Interactive Computer Graphics and Computer-aided Design	Bioengineering Design II,Mechanical Systems Design II,Tech Elect CS,Engr,&Sciences,Thermal Systems Design II	ME 3180,ME 3345,&
ME 4053	Mechanical Engineering Systems Laboratory	Tech Elect CS,Engr,&Sciences	ME 3345,ME 3057,&,ME 3015,&,MATH 3770,ISYE 3770,|,&
ME 4056	Mechanical Engineering Systems Laboratory		ME 3017,ME 3057,&,ME 3345,&,MATH 3770,ISYE 3770,|,&
ME 4171	Environmentally Conscious Design and Manufacturing	Bioengineering Design II,Mechanical Systems Design II,Tech Elect CS,Engr,&Sciences,Thermal Systems Design II	
ME 4172	Designing Sustainable Engineering Systems	Tech Elect CS,Engr,&Sciences	
ME 4182	Mechanical Design Engineering	Tech Elect CS,Engr,&Sciences	ME 2110,ME 3210,&,ME 3180,ME 4315,|,&
ME 4189	Structural Vibrations	Tech Elect CS,Engr,&Sciences	ME 2202,MATH 2403,MATH 2413,|,MATH 24X3,|,&
ME 4193	Design and Materials Selection for Tribological Applications	Bioengineering Design II,Mechanical Systems Design II,Tech Elect CS,Engr,&Sciences,Thermal Systems Design II	ME 3201,ME 3340,&
ME 4214	Mechanical Behavior of Materials	Tech Elect CS,Engr,&Sciences	COE 3001
ME 4215	Manufacturing Process Analysis		COE 3001,ME 3210,&,ME 3345,&
ME 4315	Energy Systems Analysis and Design	Tech Elect CS,Engr,&Sciences	AE 1770,CEE 1770,|,ME 1770,|,ISYE 3025,&,ME 3345,&
ME 4321	Refrigeration and Air Conditioning	Bioengineering Design II,Mechanical Systems Design II,Tech Elect CS,Engr,&Sciences,Thermal Systems Design II	ME 3322,ME 3345,&
ME 4324	Power Generation Technology	Bioengineering Design II,Mechanical Systems Design II,Tech Elect CS,Engr,&Sciences,Thermal Systems Design II	ISYE 3025,ME 3345,&
ME 4325	Introduction to Fuel Cell Systems		ME 3322
ME 4330	Heat and Mass Exchangers	Tech Elect CS,Engr,&Sciences	ME 3345
ME 4340	Applied Fluid Mechanics	Tech Elect CS,Engr,&Sciences	ME 3345
ME 4342	Computational Fluid Dynamics	Tech Elect CS,Engr,&Sciences	ME 3345
ME 4447	Microprocessor Control of Manufacturing Systems	Bioengineering Design II,Mechanical Systems Design II,Tech Elect CS,Engr,&Sciences,Thermal Systems Design II	
ME 4451	Robotics	Tech Elect CS,Engr,&Sciences	ME 3015
ME 4452	Control of Dynamic Systems		ME 3017
ME 4698	Undergraduate Research Assistantship		
ME 4699	Undergraduate Research	Tech Elect CS,Engr,&Sciences	
ME 4701	Wind Engineering		MATH 2401,PHYS 2211,&
ME 4740	Biologically Inspired Design		BIOL 1520,BIOL 3600,|,BMED 3100,PHYS 2211,|,|
ME 4741	Integrative Management Development - Project Preparation		
ME 4742	Integrated Technology and Management Capstone Project		
ME 4753	Topics in Engineering Practice	Tech Elect CS,Engr,&Sciences	
ME 4754	Electronics Packaging Assembly, Reliability, Thermal Management, and Test	Tech Elect CS,Engr,&Sciences	ECE 3040,ECE 3710,|
ME 4757	Biofluid Mechanics	Tech Elect CS,Engr,&Sciences	AE 2020,ME 3340,|,BMED 3300,|
ME 4758	Biosolid Mechanics	Tech Elect CS,Engr,&Sciences	ME 3201,BMED 3400,|
ME 4760	Engineering Acoustics and Noise Control	Tech Elect CS,Engr,&Sciences	MATH 2403,MATH 24X3,|,MATH 2413,|
ME 4763	Pulping and Chemical Recovery	Tech Elect CS,Engr,&Sciences	
ME 4764	Bleaching and Papermaking	Tech Elect CS,Engr,&Sciences	
ME 4766	Fabrication and Properties of Nanoscale Devices		ME 3322,ME 3720,|,AE 3450,PHYS 3141,|,|,MSE 3001,|
ME 4775	Polymer Science and Engineering I: Formation and Properties	Tech Elect CS,Engr,&Sciences	CHEM 2312,CHEM 3411,&
ME 4776	Polymer Science and Engineering II: Analysis, Processing, and Laboratory	Tech Elect CS,Engr,&Sciences	CHBE 4775,CHEM 4775,|,ME 4775,MSE 4775,|,|,PTFE 4775,|
ME 4777	Introduction to Polymer Science and Engineering	Tech Elect CS,Engr,&Sciences	MSE 2001,CHEM 2311,&
ME 4781	Biomedical Instrumentation	Tech Elect CS,Engr,&Sciences	ECE 3040,ECE 3710,|
ME 4782	Biosystems Analysis	Tech Elect CS,Engr,&Sciences	BMED 3500,CHBE 4400,|,ECE 2040,ME 3015,|,|
ME 4790	Materials Selection and Design		COE 3001,MSE 3003,|
ME 4791	Mechanical Behavior of Composites	Tech Elect CS,Engr,&Sciences	ME 3201
ME 4793	Composite Materials and Processes	Bioengineering Design II,Mechanical Systems Design II,Tech Elect CS,Engr,&Sciences,Thermal Systems Design II	PHYS 2212,CHEM 1310,&
ME 4794	Composite Materials and Manufacturing	Tech Elect CS,Engr,&Sciences	CHEM 1310,PHYS 2212,&
ME 4801	Special Topics in Mechanical Engineering	Tech Elect CS,Engr,&Sciences	
ME 4802	Special Topics in Mechanical Engineering	Tech Elect CS,Engr,&Sciences	
ME 4803	Special Topics in Mechanical Engineering	Tech Elect CS,Engr,&Sciences	
ME 4804	Special Topics in Mechanical Engineering	Tech Elect CS,Engr,&Sciences	
ME 4805	Special Topics in Mechanical Engineering	Tech Elect CS,Engr,&Sciences	
ME 4811	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4812	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4813	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4814	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4815	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4821	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4822	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4823	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4824	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4825	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4831	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4832	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4833	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4834	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4835	Special Topics	Tech Elect CS,Engr,&Sciences	
ME 4901	Special Problems in Mechanical Engineering	Tech Elect CS,Engr,&Sciences	
ME 4902	Special Problems	Tech Elect CS,Engr,&Sciences	
ME 4903	Special Problems	Tech Elect CS,Engr,&Sciences	
ME 6101	Engineering Design		
ME 6102	Designing Open Engineering Systems		
ME 6103	Optimization in Engineering Design		
ME 6104	Computer-Aided Design		
ME 6105	Modeling and Simulation in Design		
ME 6124	Finite-Element Method: Theory and Practice		
ME 6140	Physical Properties of Paper		ME 6201
ME 6201	Principles of Continuum Mechanics		MATH 4581
ME 6203	Inelastic Deformation of Solids		ME 6201
ME 6204	Micromechanics of Materials		ME 6201
ME 6222	Manufacturing Processes and Systems		ME 4210
ME 6223	Automated Manufacturing Process Planning		ME 6222
ME 6224	Machine Tool Analysis and Control		ME 6222
ME 6225	Metrology and Measurement Systems		ME 3015,ME 6222,&
ME 6226	Fundamentals of Semiconductor Manufacture and Assembly		ME 6222
ME 6229	Introduction to Micro-Electro-Mechanical Systems		
ME 6242	Mechanics of Contact		ME 6201
ME 6243	Fluid Film Lubrication		
ME 6244	Rotordynamics		
ME 6281	Mechanics of Paper Forming and Coating		ME 6601,ME 6602,|
ME 6301	Conduction Heat Transfer		ME 3345
ME 6302	Convection Heat Transfer		ME 3345
ME 6303	Thermal Radiation Heat Transfer		ME 3345
ME 6304	Principles of Thermodynamics		ME 3322
ME 6305	Applications of Thermodynamics		ME 6304
ME 6309	Nanoscale Heat Transfer		ME 3345
ME 6401	Linear Control Systems		ME 3015
ME 6402	Nonlinear Control Systems		ME 6401
ME 6403	Digital Control Systems		ME 3015
